代码		    名称		
SZ000011	深物业A		
SZ000012	南  玻Ａ	
SZ000019	深粮控股	
SZ000030	富奥股份	
SZ000049	德赛电池	
SZ000061	农 产 品	
SZ000089	深圳机场	
SZ000090	天健集团	
SZ000156	华数传媒	
SZ000404	长虹华意	
SZ000411	英特集团	
SZ000417	合百集团	
SZ000422	湖北宜化	
SZ000498	山东路桥	
SZ000521	长虹美菱	
SZ000531	穗恒运Ａ	
SZ000541	佛山照明	
SZ000544	中原环保	
SZ000589	贵州轮胎	
SZ000600	建投能源	
SZ000652	泰达股份	
SZ000685	中山公用	
SZ000719	中原传媒	
SZ000756	新华制药	
SZ000822	山东海化	
SZ000823	超声电子	
SZ000828	东莞控股	
SZ000885	城发环境	
SZ000886	海南高速	
SZ000888	峨眉山Ａ	
SZ000899	赣能股份	
SZ000900	现代投资	
SZ000905	厦门港务	
SZ000906	浙商中拓	
SZ000915	华特达因	
SZ000923	河钢资源	
SZ000950	重药控股	
SZ000968	蓝焰控股	
SZ000973	佛塑科技	
SZ001227	兰州银行	
SZ001328	登康口腔	
SZ002053	云南能投	
SZ002061	浙江交科	
SZ002091	江苏国泰	
SZ002101	广东鸿图	
SZ002125	湘潭电化	
SZ002181	粤 传 媒	
SZ002208	合肥城建	
SZ002237	恒邦股份	
SZ002243	力合科创	
SZ002254	泰和新材	
SZ002267	陕天然气	
SZ002332	仙琚制药	
SZ002344	海宁皮城	
SZ002349	精华制药	
SZ002376	新北洋		
SZ002386	天原股份	
SZ002396	星网锐捷	
SZ002573	清新环境	
SZ002697	红旗连锁	
SZ002880	卫光生物	
SZ002941	新疆交建	
SZ003013	地铁设计	
SZ003039	顺控发展	
SZ300185	通裕重工	
SZ300219	鸿利智汇	
SZ300284	苏交科		
SZ300393	中来股份	
SZ300470	中密控股	
SZ300569	天能重工	
SZ300770	新媒股份	
SZ300859	西域旅游	
SZ300981	中红医疗	
SZ301153	中科江南	
SZ301238	瑞泰新材	
SZ301262	海看股份	
SZ301339	通行宝		
SH600017	日照港		
SH600020	中原高速	
SH600033	福建高速	
SH600035	楚天高速	
SH600054	黄山旅游	
SH600057	厦门象屿	
SH600059	古越龙山	
SH600063	皖维高新	
SH600064	南京高科	
SH600073	光明肉业	
SH600113	浙江东日	
SH600123	兰花科创	
SH600133	东湖高新	
SH600163	中闽能源	
SH600197	伊力特		
SH600223	福瑞达		
SH600229	城市传媒	
SH600251	冠农股份	
SH600266	城建发展	
SH600269	赣粤高速	
SH600278	东方创业	
SH600279	重庆港		
SH600284	浦东建设	
SH600300	维维股份	
SH600368	五洲交通	
SH600395	盘江股份	
SH600409	三友化工	
SH600425	青松建化	
SH600429	三元股份	
SH600456	宝钛股份	
SH600459	贵研铂业	
SH600461	洪城环境	
SH600475	华光环能	
SH600488	津药药业	
SH600502	安徽建工	
SH600509	天富能源	
SH600510	黑牡丹		
SH600531	豫光金铅	
SH600551	时代出版	
SH600572	康恩贝		
SH600587	新华医疗	
SH600597	光明乳业	
SH600617	国新能源	
SH600618	氯碱化工	
SH600623	华谊集团	
SH600629	华建集团	
SH600633	浙数文化	
SH600639	浦东金桥	
SH600648	外高桥		
SH600649	城投控股	
SH600662	外服控股	
SH600713	南京医药	
SH600717	天津港		
SH600724	宁波富达	
SH600729	重庆百货	
SH600742	一汽富维	
SH600755	厦门国贸	
SH600757	长江传媒	
SH600780	通宝能源	
SH600789	鲁抗医药	
SH600790	轻纺城		
SH600810	神马股份	
SH600814	杭州解百	
SH600821	金开新能	
SH600826	兰生股份	
SH600846	同济科技	
SH600861	北京人力	
SH600866	星湖科技	
SH600874	创业环保	
SH600894	广日股份	
SH600897	厦门空港	
SH600908	无锡银行	
SH600929	雪天盐业	
SH600971	恒源煤电	
SH600979	广安爱众	
SH600997	开滦股份	
SH601008	连云港		
SH601022	宁波远洋	
SH601065	江盐集团	
SH601083	锦江航运	
SH601101	昊华能源	
SH601107	四川成渝	
SH601121	宝地矿业	
SH601188	龙江交通	
SH601199	江南水务	
SH601200	上海环境	
SH601330	绿色动力	
SH601512	中新集团	
SH601518	吉林高速	
SH601588	北辰实业	
SH601789	宁波建工	
SH601801	皖新传媒	
SH601827	三峰环境	
SH601860	紫金银行	
SH601900	南方传媒	
SH601952	苏垦农发	
SH603043	广州酒家	
SH603050	科林电气	
SH603053	成都燃气	
SH603071	物产环能	
SH603100	川仪股份	
SH603107	上海汽配	
SH603153	上海建科	
SH603227	雪峰科技	
SH603299	苏盐井神	
SH603327	福蓉科技	
SH603328	依顿电子	
SH603357	设计总院	
SH603693	江苏新能	
SH603977	国泰集团	
SH605599	菜百股份	
830946		森萱医药	

